Species	Ensembl ID	Gene Name	Log2FC	FDR
Pig	ENSSSCG00000002002	IRF9	2.68636	2.68599E-08
Pig	ENSSSCG00000006776	MOV10	2.67659	0
Pig	ENSSSCG00000009022	MAB21L2	2.67652	0
Pig	ENSSSCG00000010414	CXCL12	2.67042	5.69745E-06
Pig	ENSSSCG00000005215	JAK2	2.67	0
Pig	ENSSSCG00000022101	BRCA1	2.66588	0
Pig	ENSSSCG00000010640	NRAP	2.66212	4.77774E-24
Pig	ENSSSCG00000008456	NA	2.65793	0
Pig	ENSSSCG00000022281	NA	2.65077	8.45007E-13
Pig	ENSSSCG00000002841	N4BP1	2.63916	0
Pig	ENSSSCG00000001394	MIC-2	2.6229	2.47002E-26
Pig	ENSSSCG00000016652	LRRN3	2.62278	9.65596E-05
Pig	ENSSSCG00000027340	NA	2.61909	2.10195E-44
Pig	ENSSSCG00000010261	PPA1	2.61757	0
Pig	ENSSSCG00000023165	SEMA7A	2.61578	0.000135496
Pig	ENSSSCG00000011465	PDE12	2.60558	0
Pig	ENSSSCG00000004125	STX11	2.59185	2.94898E-14
Pig	ENSSSCG00000004464	FAM46A	2.58546	5.56813E-22
Pig	ENSSSCG00000008399	NA	2.57852	0
Pig	ENSSSCG00000005926	PARP10	2.57648	0
Pig	ENSSSCG00000002004	PSME2	2.57511	1.6769E-23
Pig	ENSSSCG00000010146	LGALS8	2.57446	0
Pig	ENSSSCG00000030191	NA	2.57168	1.32316E-08
Pig	ENSSSCG00000009959	ASPHD2	2.55693	1.08625E-38
Pig	ENSSSCG00000010605	OBFC1	2.55559	0
Pig	ENSSSCG00000026173	ABCA1	2.53864	0
Pig	ENSSSCG00000006196	SLCO5A1	2.53557	1.0989E-32
Pig	ENSSSCG00000025233	NA	2.52928	0
Pig	ENSSSCG00000010757	EBF3	2.52886	0
Pig	ENSSSCG00000011611	HMCES	2.52491	0
Pig	ENSSSCG00000025932	AP1S3	2.52309	2.57974E-25
Pig	ENSSSCG00000005983	ATAD2	2.51204	0
Pig	ENSSSCG00000024133	NA	2.51074	0
Pig	ENSSSCG00000022850	RHBDL3	2.50547	9.09121E-20
Pig	ENSSSCG00000028367	NA	2.49008	1.77216E-25
Pig	ENSSSCG00000023648	NA	2.48931	2.50513E-09
Pig	ENSSSCG00000022880	NA	2.47994	0
Pig	ENSSSCG00000003702	GATA6	2.47574	0
Pig	ENSSSCG00000004830	ATP10A	2.47476	4.20489E-16
Pig	ENSSSCG00000025520	NA	2.46092	1.4406E-36
Pig	ENSSSCG00000004695	WDR76	2.45668	0
Pig	ENSSSCG00000025326	TMEM243	2.45133	0
Pig	ENSSSCG00000001516	BAK1	2.44788	0
Pig	ENSSSCG00000025788	NA	2.44189	2.03002E-14
Pig	ENSSSCG00000006209	NA	2.43787	0
Pig	ENSSSCG00000002001	REC8	2.43414	8.06836E-10
Pig	ENSSSCG00000014564	IFITM1	2.41785	0
Pig	ENSSSCG00000017618	NA	2.40767	2.53144E-25
Pig	ENSSSCG00000005423	ABCA1	2.40765	2.18271E-09
Pig	ENSSSCG00000026182	NA	2.40245	3.65983E-35
Pig	ENSSSCG00000000091	APOBEC3H	2.39955	0
Pig	ENSSSCG00000012893	NA	2.39255	4.04169E-39
Pig	ENSSSCG00000012557	NUP62CL	2.38799	3.53594E-06
Pig	ENSSSCG00000014349	TMEM173	2.38638	8.55295E-28
Pig	ENSSSCG00000005484	ZNF618	2.37514	5.74532E-43
Pig	ENSSSCG00000017046	NA	2.36688	2.74654E-43
Pig	ENSSSCG00000009640	ENTPD4	2.36513	8.26417E-17
Pig	ENSSSCG00000029763	IFI35	2.36388	6.48801E-43
Pig	ENSSSCG00000015324	GNG11	2.36295	0
Pig	ENSSSCG00000025433	NA	2.33478	1.36808E-19
Pig	ENSSSCG00000023901	NA	2.33003	3.96281E-24
Pig	ENSSSCG00000024096	RIPK2	2.32266	0
Pig	ENSSSCG00000013655	ICAM1	2.30784	2.48007E-23
Pig	ENSSSCG00000014204	DCP2	2.30371	0
Pig	ENSSSCG00000006247	PLAG1	2.29713	1.31269E-14
Pig	ENSSSCG00000025281	ARL6IP1	2.28568	0
Pig	ENSSSCG00000006733	NA	2.27414	0
Pig	ENSSSCG00000010638	TCF7L2	2.27276	5.95265E-10
Pig	ENSSSCG00000023760	CLEC14A	2.26283	0
Pig	ENSSSCG00000026832	CSF1	2.26096	6.35466E-11
Pig	ENSSSCG00000004902	RNF152	2.25971	7.67992E-13
Pig	ENSSSCG00000011390	IP6K1	2.24401	0
Pig	ENSSSCG00000002010	NRL	2.23704	1.39147E-14
Pig	ENSSSCG00000021274	NA	2.2296	7.16029E-25
Pig	ENSSSCG00000008275	TTC31	2.22151	0
Pig	ENSSSCG00000004682	B2M	2.21558	4.37048E-15
Pig	ENSSSCG00000011950	NXPE3	2.21288	0
Pig	ENSSSCG00000014227	TNFAIP8	2.21111	1.30955E-05
Pig	ENSSSCG00000009999	NA	2.21088	0
Pig	ENSSSCG00000004897	ZCCHC2	2.20468	0
Pig	ENSSSCG00000006815	NA	2.19943	1.09221E-07
Pig	ENSSSCG00000014303	JADE2	2.19295	0
Pig	ENSSSCG00000003909	NA	2.18944	3.36757E-29
Pig	ENSSSCG00000001099	CMAH	2.17643	4.53497E-05
Pig	ENSSSCG00000026201	IFNAR2	2.16855	1.53272E-28
Pig	ENSSSCG00000029430	NA	2.16693	4.16466E-42
Pig	ENSSSCG00000023926	NA	2.16635	2.0694E-35
Pig	ENSSSCG00000021251	SLC12A7	2.15747	2.8026E-45
Pig	ENSSSCG00000027643	DIO2	2.15395	0.0266946
Pig	ENSSSCG00000009127	ALPK1	2.15234	0
Pig	ENSSSCG00000001052	PHACTR1	2.15218	2.39711E-19
Pig	ENSSSCG00000003167	NA	2.1507	0
Pig	ENSSSCG00000012006	NA	2.15022	0
Pig	ENSSSCG00000011628	DNAJC13	2.14754	0
Pig	ENSSSCG00000015362	TSPAN13	2.1436	2.76132E-14
Pig	ENSSSCG00000001227	TMP-SLA-3	2.1307	8.16705E-13
Pig	ENSSSCG00000023580	NKX2-2	2.12949	0
Pig	ENSSSCG00000001011	NA	2.12746	0
Pig	ENSSSCG00000014565	NA	2.12374	0
Pig	ENSSSCG00000001509	DAXX	2.12202	0
Pig	ENSSSCG00000011853	RUBCN	2.09673	0
Pig	ENSSSCG00000010462	PCGF5	2.08834	1.18701E-11
Pig	ENSSSCG00000000769	BID	2.08638	0
Pig	ENSSSCG00000016851	OSMR	2.08329	0.000223521
Pig	ENSSSCG00000006371	USF1	2.08303	0
Pig	ENSSSCG00000027103	CNIH4	2.08203	2.31871E-35
Pig	ENSSSCG00000006038	ZFPM2	2.07971	1.34628E-06
Pig	ENSSSCG00000029023	ARL5B	2.07575	1.48411E-12
Pig	ENSSSCG00000005738	RALGDS	2.0755	0
Pig	ENSSSCG00000030404	PAPD5	2.07447	4.00037E-39
Pig	ENSSSCG00000007722	NCF1	2.07367	4.80105E-16
Pig	ENSSSCG00000006052	FZD6	2.07358	4.76045E-30
Pig	ENSSSCG00000007470	FAM65C	2.06791	2.53495E-42
Pig	ENSSSCG00000016548	PODXL	2.06374	1.04791E-09
Pig	ENSSSCG00000027447	NA	2.06319	1.44529E-09
Pig	ENSSSCG00000008727	MSX1	2.06185	0
Pig	ENSSSCG00000029662	NA	2.05957	4.72321E-12
Pig	ENSSSCG00000004371	AIM1	2.05527	0
Pig	ENSSSCG00000003670	RLF	2.05433	0
Pig	ENSSSCG00000028448	NA	2.05249	0
Pig	ENSSSCG00000009220	DMP1	2.05121	4.80354E-19
Pig	ENSSSCG00000026552	HIATL1	2.05092	0
Pig	ENSSSCG00000030767	TMP-SLA-5	2.04799	2.06943E-27
Pig	ENSSSCG00000016758	NA	2.04799	1.42372E-42
Pig	ENSSSCG00000008218	NA	2.0421	6.87006E-40
Pig	ENSSSCG00000011251	MYD88	2.04091	0
Pig	ENSSSCG00000026571	RAB8B	2.03591	0
Pig	ENSSSCG00000027243	NUAK2	2.02633	2.48803E-37
Pig	ENSSSCG00000024881	NA	2.01687	0
Pig	ENSSSCG00000001579	NA	2.01431	0
Pig	ENSSSCG00000027777	PRRG1	2.01218	7.29565E-28
Pig	ENSSSCG00000001341	SLA-11	2.00324	1.17865E-40
Pig	ENSSSCG00000010556	PAX2	2.00279	6.55216E-31
Pig	ENSSSCG00000022031	CHST2	2.00237	1.84494E-37
Pig	ENSSSCG00000026940	CASP10	2.00151	3.66406E-27
Pig	ENSSSCG00000011065	MASTL	1.99929	2.84774E-29
Pig	ENSSSCG00000006066	RNF19A	1.99768	2.31742E-38
Pig	ENSSSCG00000008581	NCOA1	1.9975	4.74204E-34
Pig	ENSSSCG00000000600	EPS8	1.99717	2.591E-42
Pig	ENSSSCG00000009031	EDNRA	1.9967	1.96182E-44
Pig	ENSSSCG00000006743	SLC22A15	1.99386	3.36312E-44
Pig	ENSSSCG00000000778	CPNE8	1.99264	2.71848E-16
Pig	ENSSSCG00000027894	FAM76A	1.98692	0
Pig	ENSSSCG00000017071	SAP30L	1.98565	0
Pig	ENSSSCG00000012479	PCDH19	1.98142	8.3973E-12
Pig	ENSSSCG00000014835	C2CD3	1.97354	1.84494E-37
Pig	ENSSSCG00000017160	CBX4	1.97102	1.02882E-10
Pig	ENSSSCG00000004870	NA	1.96956	0
Pig	ENSSSCG00000004174	TCF21	1.96356	1.19828E-20
Pig	ENSSSCG00000000539	NA	1.95369	2.22105E-14
Pig	ENSSSCG00000001228	TMP-CH242-74M17.5	1.94907	1.4384E-36
Pig	ENSSSCG00000016420	INSIG1	1.94866	2.77544E-06
Pig	ENSSSCG00000002716	MLKL	1.94736	3.88122E-25
Pig	ENSSSCG00000029772	SOCS3	1.94563	0.000785193
Pig	ENSSSCG00000009042	OTUD4	1.94464	0
Pig	ENSSSCG00000000457	NA	1.9421	0
Pig	ENSSSCG00000009002	TLR2	1.93936	9.00386E-11
Pig	ENSSSCG00000013181	SERPING1	1.93585	1.28747E-07
Pig	ENSSSCG00000030790	TMP-CH242-74M17.6	1.93544	2.13552E-05
Pig	ENSSSCG00000004244	MAN1A1	1.93421	0
Pig	ENSSSCG00000011678	XRN1	1.93043	0
Pig	ENSSSCG00000026139	TIFA	1.92386	2.02813E-35
Pig	ENSSSCG00000012053	CBR3	1.92321	9.4643E-33
Pig	ENSSSCG00000026460	TAL1	1.91904	0
Pig	ENSSSCG00000023604	NA	1.9129	4.2039E-45
Pig	ENSSSCG00000009440	ELF1	1.91193	0
Pig	ENSSSCG00000024152	ETV6	1.90578	0
Pig	ENSSSCG00000017924	NA	1.90512	0
Pig	ENSSSCG00000006862	VCAM1	1.89671	1.11349E-22
Pig	ENSSSCG00000024089	C5orf30	1.89398	1.67453E-26
Pig	ENSSSCG00000026592	TLR6	1.89318	7.08614E-13
Pig	ENSSSCG00000004242	TBC1D32	1.89181	1.1401E-31
Pig	ENSSSCG00000021361	ZNF710	1.88835	0
Pig	ENSSSCG00000028157	NA	1.88041	3.47348E-26
Pig	ENSSSCG00000014431	AFAP1L1	1.87816	0.000028001
Pig	ENSCVR053       	TRIM56	1.871293855	#N/A
Pig	ENSSSCG00000009886	TRAFD1	1.87061	0
Pig	ENSSSCG00000017673	INTS2	1.86653	0
Pig	ENSSSCG00000024614	ITSN1	1.86421	0
Pig	ENSSSCG00000011474	PXK	1.86081	1.35848E-17
Pig	ENSSSCG00000020886	NA	1.855	2.96739E-34
Pig	ENSSSCG00000004999	NA	1.84864	9.91916E-38
Pig	ENSSSCG00000028882	NA	1.84861	2.34238E-08
Pig	ENSSSCG00000000736	TEAD4	1.84321	0
Pig	ENSSSCG00000016106	NA	1.84254	3.05457E-35
Pig	ENSSSCG00000025598	NA	1.83742	4.64025E-32
Pig	ENSSSCG00000014171	ERAP1	1.83204	4.78514E-19
Pig	ENSSSCG00000014976	ARHGAP42	1.831	2.84805E-09
Pig	ENSSSCG00000012276	SYN1	1.82696	4.76276E-12
Pig	ENSSSCG00000028887	NA	1.82628	1.11349E-14
Pig	ENSSSCG00000014950	VSTM5	1.82574	1.15365E-12
Pig	ENSSSCG00000023539	MBOAT2	1.82559	0
Pig	ENSSSCG00000015784	ACSL1	1.82139	6.4854E-16
Pig	ENSSSCG00000026935	NA	1.81593	0
Pig	ENSSSCG00000011020	KIAA1462	1.81441	6.29114E-10
Pig	ENSSSCG00000006582	S100A14	1.81257	0.000207575
Pig	ENSSSCG00000007440	CD40	1.81039	0
Pig	ENSSSCG00000027532	PHACTR4	1.80815	6.50371E-41
Pig	ENSSSCG00000010235	SIRT1	1.79982	7.30774E-39
Pig	ENSSSCG00000004569	LACTB	1.79798	1.69375E-41
Pig	ENSSSCG00000022536	SLC37A2	1.79794	5.24389E-38
Pig	ENSSSCG00000011576	HRH1	1.79628	3.36967E-36
Pig	ENSSSCG00000010438	ATAD1	1.79559	0
Pig	ENSSSCG00000012808	CLIC2	1.79253	3.76382E-25
Pig	ENSSSCG00000017301	TLK2	1.7869	0
Pig	ENSSSCG00000006864	CDC14A	1.77766	7.78278E-18
Pig	ENSSSCG00000016308	NA	1.77269	9.07825E-10
Pig	ENSSSCG00000009070	NA	1.77012	1.09329E-11
Pig	ENSSSCG00000015175	VWA5A	1.76631	6.53159E-10
Pig	ENSSSCG00000015798	ANKRD37	1.76492	1.32584E-23
Pig	ENSSSCG00000030359	ARHGEF3	1.76366	1.12728E-15
Pig	ENSSSCG00000002551	AHNAK2	1.76214	5.5646E-14
Pig	ENSSSCG00000004612	RAB27A	1.76007	2.00736E-23
Pig	ENSSSCG00000008867	CTSO	1.75009	1.4013E-45
Pig	ENSSSCG00000007733	NA	1.74795	0
Pig	ENSSSCG00000011214	NGLY1	1.7471	1.75359E-15
Pig	ENSSSCG00000017877	ANKFY1	1.74573	0
Pig	ENSSSCG00000002282	MAX	1.74233	0
Pig	ENSSSCG00000009395	SETDB2	1.7407	6.5013E-29
Pig	ENSSSCG00000008509	RASGRP3	1.73252	1.64078E-13
Pig	ENSSSCG00000022737	NA	1.72264	1.29096E-19
Pig	ENSSSCG00000009402	LPAR6	1.71387	1.64127E-15
Pig	ENSSSCG00000003697	NA	1.71207	3.05383E-07
Pig	ENSSSCG00000016164	IKZF2	1.70383	5.0302E-11
Pig	ENSSSCG00000001231	SLA-1	1.70026	1.03722E-20
Pig	ENSSSCG00000001229	TMP-CH242-74M17.2	1.69934	5.94113E-13
Pig	ENSSSCG00000027509	NA	1.69595	0
Pig	ENSSSCG00000015540	MR1	1.68924	2.54249E-11
Pig	ENSSSCG00000011859	HEG1	1.68654	2.71397E-10
Pig	ENSSSCG00000028736	NA	1.68512	1.49742E-07
Pig	ENSSSCG00000001913	STOML1	1.68503	2.06259E-37
Pig	ENSSSCG00000004420	TRAF3IP2	1.68442	3.47108E-28
Pig	ENSSSCG00000008742	CD38	1.68237	6.48749E-09
Pig	ENSSSCG00000000840	KIAA1033	1.67801	0
Pig	ENSCVR010       	C1S	1.67418614	#N/A
Pig	ENSSSCG00000015789	SNX25	1.6686	2.73459E-38
Pig	ENSSSCG00000030508	NA	1.66437	2.5643E-24
Pig	ENSSSCG00000025134	FAM171B	1.66321	1.5368E-23
Pig	ENSSSCG00000011106	CREM	1.66271	3.64552E-28
Pig	ENSSSCG00000016312	NA	1.65862	3.26152E-14
Pig	ENSSSCG00000000170	NA	1.65667	3.63731E-20
Pig	ENSSSCG00000024385	RNASEH2B	1.65193	8.48504E-30
Pig	ENSSSCG00000012727	FMR1	1.65024	0
Pig	ENSSSCG00000003419	NA	1.643	5.95796E-21
Pig	ENSSSCG00000029347	ZNF791	1.64191	5.21073E-06
Pig	ENSSSCG00000002283	FUT8	1.64099	4.52619E-43
Pig	ENSSSCG00000001577	NA	1.62661	2.57974E-25
Pig	ENSSSCG00000016823	NA	1.6242	2.50569E-21
Pig	ENSSSCG00000000086	MGAT3	1.62161	0.0199811
Pig	ENSSSCG00000004290	TBX18	1.61746	1.37289E-13
Pig	ENSSSCG00000006237	SDCBP	1.61619	3.41637E-42
Pig	ENSSSCG00000001507	TAPBP	1.61473	6.82071E-40
Pig	ENSSSCG00000015589	VASH2	1.60527	4.00405E-17
Pig	ENSSSCG00000028304	ZFP36L1	1.60276	1.39101E-27
Pig	ENSSSCG00000005683	TOR1B	1.60094	2.16178E-41
Pig	ENSSSCG00000029174	CCDC126	1.59566	0
Pig	ENSSSCG00000022387	TBPL1	1.59364	4.18168E-25
Pig	ENSSSCG00000022284	DUSP6	1.58911	1.3846E-16
Pig	ENSSSCG00000001009	RIPK1	1.58839	0
Pig	ENSSSCG00000011120	USP6NL	1.58617	4.00547E-41
Pig	ENSSSCG00000009123	CAMK2D	1.58585	2.8026E-45
Pig	ENSSSCG00000003197	MED25	1.58537	4.46784E-31
Pig	ENSSSCG00000011486	NA	1.58477	1.21676E-05
Pig	ENSSSCG00000020769	NA	1.58326	3.27243E-31
Pig	ENSSSCG00000008367	NA	1.5827	5.18505E-12
Pig	ENSSSCG00000006728	GDAP2	1.5799	1.67735E-42
Pig	ENSSSCG00000004813	TTC23	1.57324	9.39341E-32
Pig	ENSSSCG00000011630	ACKR4	1.56956	6.6686E-08
Pig	ENSSSCG00000021429	C21orf91	1.56881	0
Pig	ENSSSCG00000016841	SLC1A3	1.56836	1.41334E-05
Pig	ENSSSCG00000023241	NA	1.56537	1.76844E-15
Pig	ENSSSCG00000004687	NA	1.56416	6.00243E-27
Pig	ENSSSCG00000000810	AMIGO2	1.55969	3.09576E-19
Pig	ENSSSCG00000000708	TNFRSF1A	1.55668	2.57877E-37
Pig	ENSSSCG00000029710	GCNT4	1.55393	0.000123184
Pig	ENSSSCG00000013332	KIF18A	1.55336	1.16823E-21
Pig	ENSSSCG00000014255	SLC12A2	1.55249	5.53493E-07
Pig	ENSSSCG00000023870	SNORD12	1.55248	3.54516E-11
Pig	ENSSSCG00000024257	NA	1.55156	1.1704E-09
Pig	ENSSSCG00000011339	CSPG5	1.54401	1.2147E-08
Pig	ENSSSCG00000028815	NA	1.54375	1.03373E-20
Pig	ENSSSCG00000012695	DDX26B	1.54065	7.99637E-13
Pig	ENSSSCG00000026931	SERTAD1	1.53832	2.55518E-33
Pig	ENSSSCG00000006681	TXNIP	1.53489	4.63745E-08
Pig	ENSSSCG00000024623	USP25	1.52846	1.4643E-36
Pig	ENSSSCG00000008468	PKDCC	1.52676	7.99287E-05
Pig	ENSSSCG00000011533	NA	1.5253	1.02446E-14
Pig	ENSSSCG00000005516	STOM	1.52449	1.28023E-41
Pig	ENSSSCG00000029943	NA	1.52246	2.6134E-19
Pig	ENSSSCG00000006324	ALDH9A1	1.52142	5.31627E-20
Pig	ENSSSCG00000026593	NA	1.52069	7.36314E-06
Pig	ENSSSCG00000021252	LRRC75A	1.52007	4.19909E-16
Pig	ENSSSCG00000013901	IFI30	1.51626	4.65524E-32
Pig	ENSSSCG00000015281	PLEKHA6	1.51533	3.90869E-07
Pig	ENSSSCG00000004761	ZFYVE19	1.51334	9.78298E-25
Pig	ENSSSCG00000027726	DLL1	1.51292	2.36466E-09
Pig	ENSSSCG00000026407	NCCRP1	1.50744	1.69811E-05
Pig	ENSSSCG00000012656	ELF4	1.50662	4.1715E-39
Pig	ENSSSCG00000003243	NA	1.50479	1.44306E-23
Pig	ENSSSCG00000016243	RHBDD1	1.50443	5.8252E-42
Pig	ENSSSCG00000002404	SPTLC2	1.50326	9.57928E-42
Pig	ENSSSCG00000012324	IQSEC2	1.50168	3.12323E-32
Pig	ENSSSCG00000021537	NA	1.50122	5.58864E-40
Pig	ENSSSCG00000010893	CFH	1.49924	0.00947601
Pig	ENSSSCG00000012277	TIMP1	1.49142	4.30751E-06
Pig	ENSSSCG00000002006	PSME1	1.49134	2.91084E-18
Pig	ENSSSCG00000000675	C1R	1.48741	0.0108274
Pig	ENSSSCG00000008444	PRKCE	1.48297	1.11876E-27
Pig	ENSSSCG00000016613	AASS	1.48199	1.10634E-11
Pig	ENSSSCG00000011951	NFKBIZ	1.48094	5.83171E-06
Pig	ENSSSCG00000005260	NA	1.48036	0.000380056
Pig	ENSSSCG00000010830	HLX	1.47844	2.50972E-08
Pig	ENSSSCG00000001049	HIVEP1	1.47558	0.000046521
Pig	ENSSSCG00000010211	CCDC6	1.4729	5.60519E-44
Pig	ENSSSCG00000002311	SUSD6	1.46704	8.22142E-42
Pig	ENSSSCG00000023942	ARL4C	1.46652	1.01878E-06
Pig	ENSSSCG00000011504	EOGT	1.46585	1.37327E-43
Pig	ENSSSCG00000020666	EHD4	1.4644	5.19393E-40
Pig	ENSSSCG00000016451	GIMAP1	1.46037	1.06279E-12
Pig	ENSSSCG00000015820	WHSC1L1	1.45921	2.68365E-40
Pig	ENSSSCG00000006928	LMO4	1.45215	5.10034E-26
Pig	ENSSSCG00000023247	OPTN	1.45165	9.74947E-34
Pig	ENSSSCG00000015965	GPR155	1.44981	2.31361E-28
Pig	ENSSSCG00000010483	PLCE1	1.44726	3.73896E-14
Pig	ENSSSCG00000006073	OSR2	1.44493	6.82981E-09
Pig	ENSSSCG00000004735	NA	1.4423	1.10606E-30
Pig	ENSSSCG00000000674	NA	1.43969	5.22371E-06
Pig	ENSSSCG00000030645	NA	1.43866	3.82729E-26
Pig	ENSSSCG00000020904	TMEM2	1.43764	2.50616E-07
Pig	ENSSSCG00000004896	PHLPP1	1.43609	2.52545E-17
Pig	ENSSSCG00000011942	CD47	1.43463	2.43546E-42
Pig	ENSSSCG00000017958	NA	1.43119	3.07045E-37
Pig	ENSSSCG00000030388	UPP1	1.42142	1.84887E-24
Pig	ENSSSCG00000000661	PHC1	1.42069	1.49996E-24
Pig	ENSSSCG00000004033	AGPAT4	1.41819	2.31871E-35
Pig	ENSSSCG00000014401	NR3C1	1.41643	1.5364E-22
Pig	ENSSSCG00000028356	NA	1.41091	2.62897E-09
Pig	ENSSSCG00000026955	ACER2	1.41045	0.000217422
Pig	ENSSSCG00000007133	ACSS1	1.4034	1.18281E-11
Pig	ENSSSCG00000002545	ZFYVE21	1.38956	2.06239E-24
Pig	ENSSSCG00000030019	NA	1.37932	1.68631E-24
Pig	ENSSSCG00000013722	WDR83	1.37875	4.38566E-30
Pig	ENSSSCG00000021964	NA	1.37782	5.39706E-09
Pig	ENSSSCG00000005437	KLF4	1.37592	0.000030618
Pig	ENSSSCG00000002470	NA	1.37391	6.0225E-41
Pig	ENSSSCG00000015733	GLI2	1.37063	4.18751E-09
Pig	ENSSSCG00000015823	RAB11FIP1	1.36882	1.72815E-05
Pig	ENSSSCG00000011104	CUL2	1.36834	1.4425E-41
Pig	ENSSSCG00000024751	SPRED3	1.3642	3.09211E-12
Pig	ENSSSCG00000011105	NA	1.36106	3.1742E-26
Pig	ENSSSCG00000014820	FCHSD2	1.35858	1.6416E-18
Pig	ENSSSCG00000009223	NUDT9	1.35825	2.94525E-32
Pig	ENSSSCG00000005277	GCNT1	1.35698	4.42857E-22
Pig	ENSSSCG00000006874	PALMD	1.35508	0.0257143
Pig	ENSSSCG00000004663	SEMA6D	1.35136	5.58477E-11
Pig	ENSSSCG00000001984	KHNYN	1.35129	2.04205E-35
Pig	ENSSSCG00000006337	HSD17B7	1.35053	1.4631E-11
Pig	ENSSSCG00000011493	ATXN7	1.34994	5.03456E-23
Pig	ENSSSCG00000021400	NA	1.34818	1.8018E-08
Pig	ENSSSCG00000010039	NA	1.34808	1.53829E-06
Pig	ENSSSCG00000027476	SNORD12	1.34509	2.98526E-09
Pig	ENSSSCG00000008372	NA	1.34439	1.35953E-27
Pig	ENSSSCG00000015902	NA	1.33424	5.38359E-08
Pig	ENSSSCG00000022478	NA	1.33158	1.96108E-28
Pig	ENSSSCG00000002957	GGN	1.33023	4.60435E-08
Pig	ENSSSCG00000009473	MYCBP2	1.3301	7.86104E-33
Pig	ENSSSCG00000008980	SCARB2	1.32862	2.7084E-33
Pig	ENSSSCG00000016900	NA	1.32737	2.25103E-34
Pig	ENSSSCG00000004854	NA	1.32659	5.41476E-41
Pig	ENSSSCG00000028484	CLDN1	1.32577	5.81035E-34
Pig	ENSSSCG00000026939	LMAN2L	1.3255	7.31405E-24
Pig	ENSSSCG00000006796	CHI3L2	1.32546	6.90341E-06
Pig	ENSSSCG00000022262	NA	1.32423	4.61817E-20
Pig	ENSSSCG00000010795	NDUFAB1	1.32382	2.00121E-28
Pig	ENSSSCG00000005386	STX17	1.32175	1.55833E-31
Pig	ENSSSCG00000025620	PRICKLE1	1.31769	8.22224E-08
Pig	ENSSSCG00000006581	S100A16	1.31292	6.30628E-10
Pig	ENSSSCG00000000951	CSRP2	1.31071	2.19324E-06
Pig	ENSSSCG00000016573	IRF5	1.31031	1.74765E-08
Pig	ENSSSCG00000000095	GTPBP1	1.30977	1.11963E-28
Pig	ENSSSCG00000014985	MMP1	1.30737	0.00104654
Pig	ENSSSCG00000004192	CTGF	1.30504	7.5687E-09
Pig	ENSSSCG00000001987	RIPK3	1.29796	1.03919E-21
Pig	ENSSSCG00000007206	NA	1.29569	5.06164E-32
Pig	ENSSSCG00000024404	NA	1.29511	3.54831E-13
Pig	ENSSSCG00000024132	TMEM47	1.29153	1.66398E-23
Pig	ENSSSCG00000021483	NPBWR1	1.2905	0.000316682
Pig	ENSSSCG00000010457	KIF20B	1.2899	1.97122E-11
Pig	ENSSSCG00000012249	CXorf38	1.28976	2.09021E-23
Pig	ENSSSCG00000021029	NA	1.28933	3.31539E-07
Pig	ENSSSCG00000022289	PCDH1	1.28907	0.000103075
Pig	ENSSSCG00000007557	MICALL2	1.28892	1.16034E-27
Pig	ENSSSCG00000012996	CDC42EP2	1.28541	0.00020893
Pig	ENSSSCG00000002277	SPTB	1.28359	2.67994E-15
Pig	ENSSSCG00000008774	TBC1D1	1.28295	1.21459E-22
Pig	ENSSSCG00000021576	CD83	1.28226	3.94509E-13
Pig	ENSSSCG00000026001	DNAJC1	1.28196	1.96308E-34
Pig	ENSSSCG00000023033	PARP3	1.28002	3.91018E-33
Pig	ENSSSCG00000011230	OSBPL10	1.27952	0.000990643
Pig	ENSSSCG00000010509	PIK3AP1	1.27896	0.000114004
Pig	ENSSSCG00000011549	OGG1	1.27846	9.44417E-15
Pig	ENSSSCG00000021411	NA	1.2783	6.43124E-21
Pig	ENSSSCG00000016763	NA	1.27788	7.4537E-23
Pig	ENSSSCG00000020930	NA	1.2761	1.33081E-14
Pig	ENSSSCG00000006114	CU2072500.1	1.27518	3.68864E-14
Pig	ENSSSCG00000015958	PDK1	1.27241	3.14222E-35
Pig	ENSSSCG00000030898	MAFB	1.26994	0.00413603
Pig	ENSSSCG00000030649	NA	1.268	4.518E-14
Pig	ENSSSCG00000010996	BAG1	1.26681	1.25406E-32
Pig	ENSSSCG00000028419	NA	1.2653	1.17273E-10
Pig	ENSSSCG00000011388	AMIGO3	1.26523	2.15965E-17
Pig	ENSSSCG00000029621	BMPR1B	1.2648	1.65754E-07
Pig	ENSSSCG00000002362	NA	1.26352	3.94316E-12
Pig	ENSSSCG00000029328	FADD	1.26244	1.64254E-32
Pig	ENSSSCG00000028097	NA	1.26134	6.91912E-20
Pig	ENSSSCG00000006877	NA	1.25932	2.75134E-33
Pig	ENSSSCG00000023966	NA	1.25651	7.81334E-32
Pig	ENSSSCG00000030470	NA	1.25566	5.47699E-22
Pig	ENSSSCG00000005518	NA	1.2555	1.19065E-31
Pig	ENSSSCG00000024384	NA	1.25344	2.21516E-13
Pig	ENSSSCG00000023796	IL18BP	1.2528	1.13146E-11
Pig	ENSSSCG00000016853	RICTOR	1.24829	1.48536E-19
Pig	ENSSSCG00000010042	ZNF280B	1.24761	1.35354E-18
Pig	ENSSSCG00000017642	MTMR4	1.24625	1.71213E-28
Pig	ENSSSCG00000030183	NA	1.24597	1.13975E-30
